CountyName,total
anderson,17
bedford,115
benton,11
bledsoe,5
blount,86
bradley,287
bristol,2
campbell,10
cannon,52
carroll,5
carter,88
cheatham,59
chester,6
claiborne,31
clay,5
cocke,36
coffee,55
crockett,4
cumberland,16
davidson,1684
decatur,4
dekalb,28
desoto,1
dickson,41
dyer,17
fayette,28
fentress,20
franklin,45
fulton,1
gibson,24
giles,42
grainger,11
greene,68
grundy,44
hamblen,19
hamilton,43
hancock,24
hardeman,12
hardin,0
hawkins,143
haywood,12
henderson,27
henry,18
hickman,18
houston,9
humphreys,14
jackson,5
jefferson,38
johnson,57
knox,429
lake,21
lauderdale,12
lawrence,70
lee,2
lewis,23
lincoln,58
loudon,6
macon,15
madison,13
marion,39
marshall,43
maury,104
mcminn,4
mcnairy,5
meigs,23
monroe,17
montgomery,128
moore,12
morgan,2
obion,28
overton,16
perry,6
pickett,3
polk,4
pulaski,1
putnam,70
rhea,41
roane,24
robertson,84
rutherford,660
scott,5
sequatchie,21
sevier,157
shelby,1677
smith,18
stewart,24
sullivan,466
sumner,145
tipton,40
trigg,1
trousdale,12
unicoi,39
union,6
van buren,14
walker,1
warren,56
washington,268
wayne,18
weakley,9
white,12
williamson,116
wilson,138
winchester city,1
